Key,Attribute
柴胡,TCM
黄芩,TCM
glucose,Chemicals
anti-biotin,Chemicals
coumarin,Chemicals
glycerol,Chemicals
palmitate,Chemicals
pregnenolone,Chemicals
squalene,Chemicals
sucrose,Chemicals
tryptophan,Chemicals
uridine,Chemicals
Camphor,Chemicals
capsaicin,Chemicals
linoleic acid,Chemicals
RTN4R NOGOR UNQ330/PRO526,Proteins
GCK,Proteins
SI,Proteins
CPT1A CPT1,Proteins
CYP11A1 CYP11A,Proteins
GALM BLOCK25,Proteins
AQP7 AQP7L AQP9,Proteins
CYP2A6 CYP2A3,Proteins
GUSB,Proteins
GBA1 GBA GC GLUC,Proteins
CD209 CLEC4L,Proteins
UPP1 UP,Proteins
ACACB ACC2 ACCB,Proteins
WARS1 IFI53 WARS WRS,Proteins
MAN1A1,Proteins
CYP17A1 CYP17 S17AH,Proteins
CPT2 CPT1,Proteins
CDA CDD,Proteins
TRPV1 VR1,Proteins
